Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Keo đẹp, Keo lá me",Acacia concinna (Willd.) DC. – Mimosa concinna Willd.,0,Mimosaceae,"Thuốc nhuận tràng, long đờm, gây nôn (Hạt). Tẩy, xổ (Lá).","Lào Cai, Lạng Sơn, Hà Nội, Ninh Bình, Lâm Đồng, Đồng Nai. Cây mọc tự nhiên ở chỗ sáng và bìa rừng tới độ cao 1400m. Còn được trồng làm hàng rào ở vườn gia đình.",III-IV 
Quặn hoa vòi lông,Chonemorpha eriostylis Pitard,0,Apocynaceae,"Hậu sản vàng da, phong thấp đau xương (Thân).","Phú Thọ, Ninh Bình (Cúc Phương). Cây mọc tự nhiên ở ven rừng",0
"Đậu chỉ, Nam bạch chỉ",Teramnus labialis (L.f.) Spreng. – Glycine labialis L.f.,0,Đậu (Fabaceae),"Đau dạ dày, tả, tẩy giun (Cành lá).","Đắk Lắk (Buôn Ma Thuột), Ninh Thuận, Bình Dương, Đông Nai. Cây mọc tự nhiên trên các đồn điền trồng cây lâu năm, lùm bụi ven đường, trong rừng thưa",0
Cốt khí dây.Tên gọi khác: Xương gan.,Sabia dielsii Le’vl. – Sabia olacifolia Stapf ex L. Chen,0,Thanh phong (Sabiaceae),"Chữa đau lưng, tê thấp, sai khớp, bong gân (cả cây ngâm rượu xoa bóp).","Lao Cai (Sa Pa), Khánh Hòa (Nha Trang). Cây mọc tự nhiên ven khe suối, trên núi cao 1500 m, nơi rậm, trảng cây bụi.",IV-VI; 7-8.
"Bùi wallich, Bùi tía",Ilex wallichii Hook.f.,0,Aquifoliaceae,"Chữa kiết lỵ, sốt (Rễ).","Quảng Nam, Đà Nẵng, Kon Tum, Lâm Đồng, Sông Bé, Tây Ninh. Cây mọc tự nhiên rải rác trong rừng, ở độ cao 100-1200m.",XII-VII
Tô hạp nam,Altingia siamensis Craib – Altingia gracilipes auct.non Hemsl.,0,Altingiaceae,"Phong tê thấp, bệnh đường hô hấp (Rễ, nhựa).","Quảng Nam, Đà Nẵng, Kon Tum, Gia Lai. Cây mọc tự nhiên ven suối trong rừng, ven suối, ở độ cao 700-1500 m.",II-III; 7-8
Lọ nồi hải nam,Hydnocarpus hainanensis (Merr.) Sleum.,0,Flacourtiaceae,"Bệnh ngoài da, phong thấp (hạt).","Vĩnh Phú (Tam Đảo), Ninh Bình (Cúc Phương). Cây mọc tự nhiên trong rừng xanh, ở độ cao 700 – 1500m.",V – IX
"Thuốc bỏng, Sống đời, Trường sinh, Diệp sinh căn, Dã bất tử, Tầu púa sung (Dao)",Kalanchoe pinnata (Lam.) Pers. – Cotyledon pinnata Lam.,0,Crassulaceae,"Bỏng, cầm máu, lở loét (Lá tươi giã đắp). Viêm loét dạ dày, ruột, trĩ nội, viêm tai giữa, mụn nhọt, chữa mắt đỏ sưng đau và bó gãy xương (cả cây).","Cây mọc tự nhiên ở nơi vách đá, ven suối, cũng được trồng làm cảnh ở nhiều nơi.",I-V
"Sồi đen, Dè/ Giẻ bần, Dè đen",Quercus variabilis Blume,"Pasania variabilis (Blume) Regel, Quercus chinensis Bunge",Dẻ – Fagaceae,"Chữa ho, thủy tả, chốc đầu (đấu quả); lở trĩ, lở độc (ác sang) và ung thũng (quả).","Lào Cai, Sơn La (Mộc Châu), Hà Giang (Đồng Văn), Hòa Bình (Mai Châu).","Hoa tháng 4, quả tháng 9. "
"Củ dó đất.Tên gọi khác: Cây không lá, Cu chó, Ký sinh hoàn, Củ ngọc núi, Xà cô, Tỏa dương",Balanophora fungosa Forst. et Forst.f.,0,Dó đất (Balanophoraceae),"Chữa thiếu máu, đau bụng, nhức mỏi (cả cây).","Ninh Bình (Cúc Phương), Kon Tum. Cây ký sinh trên rễ nhiều loài họ đậu trong rừng nguyên sinh.",X-II
"Xôn đỏ, Xô đỏ",Salvia splendens Ker-Gawl.,0,Lamiaceae,"Lậu, cảm sốt, phong tê thấp (cả cây).",Cây nhập trồng làm cảnh.,III-X 
"Quao núi, Ké quao vàng",Stereospermum neuranthum Kurz,0,Bignoniaceae,Sốt (cả cây). Thổ tả (Vỏ cây sắc uống). Tiểu tiện ít (Rễ sắc uống). Nước ăn chân (Lá giã bôi).,"Nghệ An, Thanh Hóa. Cây mọc tự nhiên rải rác trong rừng thưa, rừng thứ sinh, hoặc rừng nguyên sinh, ở độ cao 1200m trở xuống.",IV-VI; 7-11
"Bách hợp, Tỏi trời, Tỏi rừng, Sluốn phạ, Khẻo ma (Tày), Kíp pá (Thái), Cà ngái dòi (Dao)",Lilium brownii var. viridulum Baker – L. brownii var. colchesteri Wils. ex Stapf.,0,Liliaceae,"Giảm ho, ho ra máu, ho khan hoặc ho có đờm, viêm phế quản, sốt, thần kinh suy nhược và chữa đau ngực (Thân hành).","Hà Giang, Lao Cai, Lai Châu, Lạng Sơn. Cây mọc tự nhiên trong rừng lá rộng thường xanh, trên khe đá, hốc đá ở sườn núi, độ cao > 1000 m.",V-X
Xôn cuống dài,Salvia scapiformis Hance,0,Lamiaceae,"Viêm thận, viêm phổi, cao huyếp áp, kích dục (Hạt).","Hà Giang. Cây mọc tự nhiên ở vùng núi đá vôi, ở độ cao 500-1100 m.",4-8 
Ớt làn ít hoa,Tabernaemontana pauciflora Blume – Tabernaemontana dinhensis Pitard,0,Apocynaceae,"Đau bụng, khó tiêu (Rễ).","Thái Nguyên, Vĩnh Phúc, Hà Nội đến các tỉnh phía Nam. Cây mọc tự nhiên trong rừng thưa, ven suối",0
Thạch nam,Photinia beauverdiana Schneid.,0,Rosaceae,"Bổ (Quả). Chống viêm, đòn ngã tổn thương (Lá).","Lao Cai, Hà Giang (Đồng Văn). Cây mọc tự nhiên rải rác trong rừng, ở độ cao 1.000-1.600 m.",IV-V
Cuông nháp,Aralia thomsonii Seem. ex C.B. Clarke,0,Họ Nhân sâm (Araliaceae),"Rễ sắc uống chữa bệnh bạch hầu, đái đường, dị ứng, lá giã nhỏ đắp chữa rắn cắn.","Lào Cai (Sa Pa), Phú Thọ (Thanh Sơn), Hà Nội (Ba Vì), Kon Tum, Gia Lai, Lâm Đồng. Cây mọc tự nhiên rải rác ven đường mòn, ven rừng, ở độ cao 500 m.",VI-XII
"Lưu ký nô, Nguyên bảo thảo, Thanh thiên, Cỏ ban, Ban lá dính, Xuyên tâm thảo",Hypericum sampsonii Hance,0,Hypericaceae,"Thông kinh, chữa kinh nguyệt không đều, lỵ, ho, đái ra máu, chảy máu cam, thổ huyết (cả cây sắc uống). Bổ, nhức mỏi, phong tê thấp (Rễ sắc uống).","Lào Cai (Sa Pa), Hà Giang (Phó Bảng), Tuyên Quang (Nà Hang), Bắc Kạn (Na Rì), Hòa Bình (Kim Bôi). Cây mọc tự nhiên rải rác ven rừng, ở các ruộng hoang, bãi cỏ, nơi ẩm.",IV-VI
Thượng duyên rộng,Epigeneium amplum (Lindl.) Summ. – Dendrobium amplum Lindl. ,0,Orchidaceae,"Viêm họng, ho, đòn ngã tổn thương.","Lào Cai (Sa Pa), Vĩnh Phúc (Tam Đảo), Lâm Đồng (Đà Lạt). Cây mọc tự nhiên, bám trên các cây gỗ trong rừng, ở độ cao 1.000-2.000 m",0
"Thủy cẩm, Sương sáo",Mesona chinensis Benth.,0,Lamiaceae,"Cảm mạo, đau khớp, đau cơ, huyết áp cao, đái đường, viêm gan cấp (cả cây).","Cao Bằng (Nguyên Bình), Lâm Đồng (Đà Lạt). Cây mọc tự nhiên ở nơi sáng và ẩm.",VII-XI; 10-2
Móng bò lông đỏ,Bauhinia rubro-villosa K.Larsen & S.S.Larsen,0,Caesalpiniaceae,Đau bụng (Vỏ).,"Lai Châu, Lao Cai, Hà Nội. Cây mọc tự nhiên rải rác ven rừng và lùm bụi, còn được trồng làm cảnh ở Hà Nội",0
"Sôm, Đậu triều lông chòm",Cajanus goensis Dalz.,"Atylosia goensis (Dalz.) Dalz., Endomallus spirei Gagnep., Dunbaria stipulata Thuan",Đậu – Fabaceae,"Chữa thấp khớp, thiểu năng mật, sốt cao, bệnh làm hao mòn cơ thể và các vết sưng tấy (rễ).","Sơn La (Mộc Châu), Nghệ An (thung lũng sông La, Canh Trap), Đắk Lắk (Buôn Ma Thuột), Lâm Đồng (Đà Lạt, Lang Bian, Di Linh), Ninh Thuận, Đồng Nai (song Lu).",Tháng 9 – 2 năm sau. 
"Địa háo bò, Rau má núi",Geophila repens (L.) Johnston,"Rondeletia repens L., Geophila herbacea (Jacq.) Kuntze, G. reniformis D. Don",Cà phê – Rubiaceae,"Chữa ban, sởi, đái vàng (lá); mụn nhọt, lở loét (cả cây).","Hà Giang, Quảng Ninh, Hòa Bình, Hà Nội, Ninh Bình, Gia Lai (Kon Hà Nùng), Tây Ninh, Đồng Nai (Biên Hòa), Bà Rịa-Vũng Tàu (Côn Đảo).",Tháng 6 – 12. 
"Dung chụm, Dung tuyến, Dung đen",Symplocos glomerata King ex C.B. Clarke – Symplocos garcilifolia Guillaum.,0,Symplocaceae,Chữa vết thương phần mềm.,"Lào Cai (Sa Pa), Lai Châu, Hà Giang, Quảng Ninh, Vĩnh Phúc (Tam Đảo),  Hà Nội (Ba Vì), Đồng Nai. Cây mọc tự nhiên, rải rác trong rừng vùng núi đá vôi, ở độ cao 900-1.700 m.",III-VI; 8-9
Sư ốc,Sporobolus humilis J. Presl,0,Poaceae,"Hậu sản thiếu máu, đau lưng (cả cây).","Lạng Sơn, Quảng Ninh, Thừa Thiên Huế, Khánh Hòa, An Giang. Cây mọc tự nhiên ở ven rừng, rừng thưa, sườn đồi, ở độ cao tới 1.500 m",0
Hoàng cẩm phượng,Solidago virgaurea L.,0,Asteraceae,"Thuốc lợi tiểu, lành vết thương, phấn kích (cả cây).","Lai Châu, Lào Cai, Hà Giang, Cao Bằng, Tây Ninh, Đồng Nai. Cây mọc tự nhiên trên các trảng cỏ và ven rừng thưa, lùm bụi, ở độ cao 100-1.600 m",0
"Riềng, Cao lương khương, Co khá (Thái), Kìm sung (Dao), Lương khương, Riềng ấm, Riềng thuốc","Alpinia officinarum Hance (Languas officinarum (Hance) Farw., L. officinarum (Hance) Phamh, Alpinia graminifolia D. Fang & G. Y. Lo)",0,Gừng – Zingiberaceae,"Dùng làm thuốc kích thích tiêu hóa, ăn ngon cơm, chữa đầy hơi, đau bụng, đi lỏng, nôn mửa, ợ hơi, đau dạ dày, cảm sốt, sốt rét, đau răng (thân rễ); sốt rét, ăn không tiêu, buồn nôn, đau bụng, thổ tả (quả).",Mọc hoang dại và trồng phổ biến ở nhiều nơi.,Tháng 5 – 9.
Hoàng liên gai,Berberis wallichiana DC.,0,Berberidaceae,"Chữa đau mắt (Rễ mài nước nhỏ). Lỵ, viêm ruột, dễ tiêu (Rễ sắc uống).","Lào Cai (Sa Pa, Bát Xát). Cây mọc tự nhiên ở độ cao 1.700-2.500 m. Loài hiếm (EN) đã đưa vào sách đỏ Việt Nam.",V-VI; 10-2
"Tổ kén, Dó lông, Dó tròn, Đuôi chồn, Thau kén (Tày), Hất exus (Kho), Thao kén cái, An xoa",Helicteres hirsuta Lour.,0,Sterculiaceae,"Sởi, ỉa chảy, lỵ, lở ngứa, đái dắt (Rễ, lá). Rễ chữa sốt rét, cảm mạo và rắn cắn.","Cây mọc tự nhiên, phổ biến trên đồi cây bụi từ Bắc vào Nam ở Việt Nam.",I-XII
"Thu hải đường trên đá, Rau chua",Begonia rupicola Miq.,0,Begoniaceae,"Lá giã nát, nướng nóng đắp chữa mụn nhọt sưng tấy.","Gia Lai, Bà Rịa Vũng Tàu, An Giang. Cây mọc tự nhiên rải rác trong rừng thứ sinh, vùng núi đá.",VIII-IX
"Lục giác mộc, Bôm bà, Ngâm xanh.",Scolopia macrophylla (Wight et Arn.) Clos – Phoberos macrophyllus Wight et Arn.,0,Flacourtiaceae,Điều kinh (Rễ sắc uống).,"Bình Dương, Đồng Nai, Tiền Giang, Cà Mau. Cây mọc tự nhiên trên đất cát hoặc đất sét đen ẩm, ven rạch, nơi bị ngập.",VII – XI 
"Đỗ trọng , Dang ping (Tày)",Eucommia ulmoides Oliv.,0,Eucommiaceae,"Chữa đau lưng mỏi gối, tê thấp, tê phù, cao huyết áp, di tinh, liệt dương, hay đi đái đêm, bại liệt, phụ nữ có thai đau bụng, động thai ra huyết (Vỏ sắc uống).","Lao Cai (Sa Pa, Bắc Hà), Vĩnh Phúc (Tam Đảo). Cây nhập trồng.",IV-VI; 7-11 
"Nhẵn điệp đen, Tỏi tai dê hoa tím",Liparis nigra Seidenf.,0,Orchidaceae,"Phong thấp, tê đau, viêm da (cả cây).","Hà Giang, Vĩnh Phúc (Tam Đảo), Hà Nội (Ba Vì), Lâm Đồng (Bì Đúp), Ninh Thuận. Cây mọc tự nhiên, rải rác trong rừng nguyên sinh, ở độ cao 800-1.500 m.",V-X
"Kim cang lá mỏng, Cậm cang ven sông",Smilax riparia A. DC.,0,Smilacaceae,"Chữa giang mai, nhọt độc, đau xương (Thân rễ).","Lào Cai, Lai Châu, Bắc Giang, Ninh Bình, Nghệ An, Lâm Đồng. Cây mọc tự nhiên, rải rác ven trảng cây bụi, khe núi, sườn đồi, ở độ cao 500-1.000 m.",0
"Bàm bàm lá nhỏ, Bàm bàm nam",Entada rheedii Spreng. – E. pursaetha DC.,0,Mimosaceae,"Hạt đốt tán bột uống trị tức ứ, làm huyết mạch lưu thông, trục huyết ứ. Dây đập dập ngâm nước để tắm và gội đầu.",Cây mọc tự nhiên trong các rừng thứ sinh thường xanh và rụng lá trên đất có đá.,9-11
"Muồng chét, Mỏ hàn",Senna garrettiana (Craib) Irwin & Barneby – Cassia garrettiana Craib,0,Caesalpiniaceae,"Nhuận tràng, long đờm, điều kinh (lõi gỗ). Sốt, lỵ, lọc máu (Hoa).",Gia Lai tới thành phố Hồ Chí Minh. Cây mọc tự nhiên,0
"Bọt ếch lá to, Tu hú cảnh, Amazắc (Kdong)",Callicarpa macrophylla Vahl,0,Verbenaceae,"Điều kinh, cầm máu, ho ra máu (Cành lá). Rễ có tác dụng bổ, giúp tiêu hóa tốt, phong thấp, đòn ngã sưng đau.","Sơn La, Hòa Bình, Lào Cai. Cây mọc tự nhiên trong rừng thứ sinh, ven đường, ở độ cao tới 600 m.",V-VIII
"Nấm hương chân ngắn, Nấm sò",Pleurotus ostreatus (Jacq. ex Fr.) Que’l.,0,Pleurotaceae,Dùng như Nấm hương,0,0
Huyết đằng lá nhỏ,Spatholobus pottingeri Prain – S. spirei Gagnep.,0,Fabaceae,"Thuốc bổ máu, chữa phong thấp, huyết hư, đầu váng (Thân).","Lai Châu (Bình Lư), Hòa Bình (Mai Châu), Hà Giang (Quản Bạ). Cây mọc tự nhiên trong rừng rậm thường xanh và rừng thưa, ở độ cao tới 800 m",0
"Xuyên tiêu, Sâng, Hạt sẻn, Mác khén (Thái), Hoàng lực, Sưng, Lưỡng diện châm, Chứ xá (Hmông), Sơn tiêu, Sẻng vàng, Chiêu khạt (Tày)",Zanthoxylum nitidum (Roxb.) DC.  – Fagara nitida Roxb.,0,Rutaceae,"Giun, tả, đau bụng, hen, bổ, sốt (Rễ). Dau răng, phong thấp (Quả).","Cây mọc tự nhiên, phổ biến ở các tỉnh vùng trung du và miền núi nước ta.",III-IV; 5-7
"Muồng trâu, Cây lác",Senna alata (L.) Roxb.; Cassia alata L.,0,Vang (Caesalpiniaceae),"Hắc lào (Lá tươi giã bôi). Nhuận tràng, tẩy (Bột lá uống).",Quảng Ngãi tới Lâm Đồng. Cây mọc tự nhiên,X-II
Cỏ may vàng,Chrysopogon fulvus (Spreng.) Chiov.,"Pollinia fulva Spreng., P. fulva Benth., Chrysopogon montanus Trin. in Spreng.",Hòa thảo – Poaceae,Chữa giun sán (hạt).,"Gia Lai (Pleiku), Lâm Đồng (Bảo Lộc).",Tháng 11. 
"Thổ tế tânTên gọi khác: Biến hóa, Đỗ hành, Quán chì (H’Mông)",Asarum caudigerum Hance,0,Mộc hương nam (Aristolochiaceae),"Ho, bổ máu, tê thấp (Rễ sắc uống).","Hà Giang, Cao Bằng, Lai Châu. Cây mọc tự nhiên rải rác trong vùng núi đá vôi, ở độ cao 1000 – 1800m. Cây có nguồn gen hiếm (VU), đã đưa vào sách đỏ Việt Nam.",III-VI
"Đại táo, Táo tàu, Táo đen",Ziziphus sativa Mill.,0,Họ Táo (Rhamnaceae),"Thuốc bổ, kích thích tiêu hoá, an thần, ho (Quả).",Lao Cai. Cây nhập trồng.,IV-IX
"Tái lan, Lục đen.",Tainia viridifusca (Hook.) Benth. & Hook.f – Calanthe viridifusca Hook. – C. eberhardii Gagnep.,0,Orchidaceae,"Chữa lở ngứa, rôm sẩy (cả cây đun nước tắm). Kinh nghiệm của người dân tộc Tày Yên Bái.","Yên Bái, Bắc Cạn (Yên Lạc), Thái Nguyên, Vĩnh Phúc (Tam Đảo), Kon Tum, Lâm Đồng. Cây mọc tự nhiên rải rác trong rừng thưa ở độ cao 400 – 800m",0
"Bèo Nhật BảnTên gọi khác:  Lục bình, Bèo tây, Bèo bầu (Tày)",Eichhornia crassipes (Mart.) Solms. – Pontederia crassipes Mart.,0,Lục bình (Pontederiaceae),"Giải nhiệt, mụn nhọt, giải độc, bắp chuối (cả cây giã + dấm, mẻ đắp).","Cây mọc tự nhiên trong ao hồ, còn được trồng làm phân xanh ở khắp nước ta.",X-XII.
0,Connarus semidecandrus Jack,0,Connaraceae,"Ở Malaixia và Thái Lan, nước sắc của lá dùng chữa đau tức ngực; rễ chữa sốt; Ở philippin, rễ sắc uống điều kinh và kích thích tử cung; Ở Campuchia rễ chữa dịch hạch (Prosea, 12, 3)","Quảng Trị (Lao Bảo), Kon Tum (Đắc Glây; Sa Thầy), Bình Dương, Tây Ninh. Cây mọc trườn rải rác trong rừng thứ sinh, ở độ cao 300 – 1500m",III – IV; 6 – 12
"Hồng cậu, Thạch hộc móc",Dendrobium aduncum Wall. ex Lindl.,0,Orchidaceae,"Chữa ho khan, đau lưng mỏi gối, thiểu năng sinh dục.","Lào Cai, Hà Giang, Lạng Sơn, Phúc Thọ (Xuân Sơn), Lâm Đồng. Cây mọc tự nhiên, sống bám trên các cây gỗ lớn trong rừng, ở độ cao 500-1.200 m",0
"Sở dầu, Du trà, Chè dầu",Camellia oleifera C. Abel,0,Theaceae,"Viêm hầu cấp, đau dạ dày, bong gân, gãy xương (Vỏ, rễ). Táo bón, tắc ruột co thắt, đau bụng giun (Dầu hạt).",Cây trồng ở Bắc và Trung bộ.,VI-VIII
Kê náp,Hibiscus cannabinus L.,0,Bông (Malvaceae),"Thuốc kiện vị (Lá). kích dục, đắp vết thương bầm giập (Hạt).",Cây trồng để lấy sợi. Nguồn gốc từ châu Phi.,I-XII
"Tổ phượng, Bổ cốt toái giả, Ráng long cước, Địa noãn, Tổ rồng",Platycerium coronarium (Koenig) Desv. – Osmunda coronaria Koenig,0,Polypodiaceae.,"Bổ gân xương, chữa phong tê thấp, đòn ngã tổn thương, gãy xương, thận hư gây ù tai, đau răng (Thân rễ).","Lào Cai, Hà Nội, Lạng Sơn, Thừa Thiên – Huế, Kon Tum, Đồng Nai. Thường sống bám trên cây gỗ, ở ven rừng rậm thường xanh, độ cao từ 100 – 800",0
Giổi đá,Manglietia insignis (Wall.) Blume,0,"Mộc lan – MagnoliaceaePhân bố: Lai Châu (Tả Phình), Lào Cai (SaPa).",,"Lai Châu (Tả Phình), Lào Cai (SaPa).Công dụng: Chữa ngực bụng trướng, phản vị, ăn uống không tiêu, họ suyễn có đờm loãng, hàn thấp tả lỵ (vỏ thân).",Tháng 4 – 8. 
"Đưng láng, Cương láng",Scleria levis Retz. – ,0,Cói( Cyperaceae.),"Chữa ho, lỵ (Rễ).","Lao Cai (Sa Pa), Tuyên Quang, Hải Dương, Ninh Bình, Nam Bộ. Cây mọc tự nhiên.",3-9
"Tóp mỡ suối, Tóp mỡ có chồi",Flemingia strobilifera (L.) Ait.f. – Hedysarum strobiliferum L.,0,Fabaceae,"Cả cây chữa phong thấp, đau nhức xương, ho, viêm ruột.","Lai Châu (ven Sông Đà, Phong Thổ), Sơn La, Hoà Bình tới Kiên Giang. Cây mọc tự nhiên ven sông suối, ở độ cao tới 500 m, trên đất cát, đất sét, đá vôi.",X-XI; 12-3 
"Tỏi trời, Thoát lan bào",Lycoris aurea (L’Her.) Herb. – Amaryllis aurea LHer.,0,Amaryllidaceae,"Bỏng, tê dại ở trẻ em, hoàng đản, thuỷ thũng. Chú ý hoa rất độc.","Cây thường được trồng trong vườn hoa, trong chậu để làm cảnh.",VI-VII
Cỏ thiTên tiếng Việt: Dương kỳ thảo,Achillea millefolium L.,0,Cúc (Asteraceae),"Điều kinh, giảm đau, tê thấp (cả cây sắc uống).","Lao Cai (Sa Pa), Lai Châu, Sơn La (Mộc Châu, Mường La). Cây mọc tự nhiên trong các trảng cỏ và chân núi, ở độ cao 800-2000 m.",IV-VIII; 8-10
Xuyên phòng phong,Ligusticum brachylobum Franch.,0,Apiaceae,"Nhức đầu, hoa mắt, choáng váng, đau khớp (Rễ).",Cây nhập trồng ở Sa Pa tỉnh Lao Cai,0
"Sung, Ưu đàm thụ, Mạy dứa (Tày), Tùng đen điắng (Dao)",Ficus racemosa L.,0,Moraceae,"Lợi sữa, phù thận nhiễm mỡ (Lá, vỏ cây sắc uống). Mụn nhọt, bỏng (Nhựa bôi).","Cây mọc tự nhiên, còn được trồng ở nhiều nơi của nước ta.",3-8
"Sắn dây, Bạch cát, Bẳn mắm kéo (Thái), Khau cát (Tày)",Pueraria montana var. chinensis (Ohwi) Sanjappa & Pradeep – P.l obata subsp. chinensis (Ohwi) Ohwi,0,Fabaceae,"Giải nhiệt, sốt, mụn nhọt (Rễ sắc uống).",Cây trồng.,X-I
Củ dong.Tên gọi khác: Hoàng tinh,Maranta arundinacea L.,0,Họ Dong (Marantaceae),"Bổ, nhuận tràng, giảm đau (Củ).",Cây trồng.,0
"Cơm rượu, Bưởi bung.",Glycosmis pentaphylla (Retz.) Correa – Limonia pentaphylla Retz.,0,Họ Cam quýt (Rutaceae),"Lá chữa sản hậu ứ huyết; dùng ngoài chữa mụn nhọt, chốc lở, rắn cắn. Rễ chữa tê thấp, kích thích tiêu hóa. Ở Ấn Độ dùng làm thuốc chữa ho, tê thấp, thiếu máu, vàng da. Dịch lá chữa sốt, đau gan và tẩy giun. Lá trộn với giòng chữa eczema. Rễ sắc nước uống chữa sưng mặt.",Cây mọc tự nhiên khá phổ biến ở Việt Nam.,I-V; 5-8 
